Relative Time,time,ground_force1_vx,ground_force1_vy,ground_force1_vz,ground_force1_px,ground_force1_py,ground_force1_pz,ground_torque1_x,ground_torque1_y,ground_torque1_z,ground_force2_vx,ground_force2_vy,ground_force2_vz,ground_force2_px,ground_force2_py,ground_force2_pz,ground_torque2_x,ground_torque2_y,ground_torque2_z
0,0,2.546874,451.770203,39.119617,0.341258,0,-1.098607,-1.3e-05,-1.300009,9e-06,-2.024414,431.299866,-40.956036,0.356508,0,-0.74556,2e-05,1.042062,8e-06
0.001,0.001,2.465858,451.936584,38.713623,0.341155,0,-1.097397,1.8e-05,-1.161696,9e-06,-2.183946,431.934509,-41.20211,0.356557,0,-0.744642,9e-06,1.256727,7e-06
0.002,0.002,2.54604,452.415405,38.875607,0.341195,0,-1.09826,1.2e-05,-1.179738,1e-05,-2.263295,431.61731,-41.200733,0.356588,0,-0.744346,2.4e-05,1.184832,8e-06
0.003,0.003,3.423881,453.048706,38.469612,0.340944,0,-1.098417,2.3e-05,-0.907516,2.1e-05,-2.185614,431.145386,-41.120773,0.356429,0,-0.745042,2.1e-05,1.342841,1e-05
0.004,0.004,2.866771,452.891785,38.470985,0.340675,0,-1.098693,0,-1.191177,2e-06,-1.865717,430.351135,-41.20211,0.356342,0,-0.745725,6e-06,1.211395,-3e-06
0.005,0.005,3.265183,453.2052,39.117554,0.340986,0,-1.098799,-3e-06,-1.033613,9e-06,-1.626002,430.667572,-41.12146,0.356177,0,-0.746011,2.2e-05,1.118197,6e-06
0.006,0.006,3.426383,454.15509,38.95488,0.341064,0,-1.099595,4.8e-05,-1.069398,-4e-06,-1.22759,431.454193,-40.798176,0.356202,0,-0.746589,2.4e-05,1.044765,-2e-06
0.007,0.007,3.665263,454.153137,38.711559,0.341093,0,-1.099866,2.4e-05,-0.956026,1.4e-05,-1.22759,431.453247,-40.717529,0.356507,0,-0.745299,1.5e-05,1.067989,6e-06
0.008,0.008,3.108153,453.049194,38.710869,0.341348,0,-1.098637,2.3e-05,-1.152349,-2e-06,-1.468138,432.564545,-41.0415,0.355793,0,-0.744445,1.7e-05,1.211269,6e-06
0.009,0.009,3.188336,454.153992,38.790142,0.341037,0,-1.099369,1e-05,-1.068507,9e-06,-1.385453,430.348816,-40.636192,0.356555,0,-0.74566,4e-06,0.984022,3e-06
0.01,0.01,3.188336,454.313934,38.790142,0.340655,0,-1.09909,-2.1e-05,-1.052824,7e-06,-1.385453,433.037109,-41.042877,0.35582,0,-0.744764,8e-06,1.061022,6e-06
0.011,0.011,3.108988,453.835938,38.384834,0.341057,0,-1.099238,0,-1.082848,-5e-06,-1.228424,430.828308,-40.96085,0.356126,0,-0.746008,1.5e-05,1.140341,9e-06
0.012,0.012,3.188336,453.997437,38.548885,0.341272,0,-1.09992,1.5e-05,-1.154256,1.8e-05,-1.468972,433.037933,-40.96085,0.355963,0,-0.744754,1.8e-05,1.287221,1.7e-05
0.013,0.013,3.347868,452.733093,38.788765,0.341552,0,-1.098695,4.9e-05,-0.977821,1.2e-05,-1.707019,431.775757,-41.123524,0.355483,0,-0.745119,8e-06,1.298181,6e-06
0.014,0.014,3.028805,451.624756,38.464108,0.341397,0,-1.097738,4.9e-05,-1.002035,1.3e-05,-1.229259,430.50827,-40.962227,0.35617,0,-0.746487,2e-06,1.266891,1e-05
0.015,0.015,2.551877,453.205383,39.111366,0.341342,0,-1.098314,2e-05,-1.227733,7e-06,-1.229259,432.405121,-41.610855,0.355463,0,-0.746029,1.6e-05,1.307936,1.4e-05
0.016,0.016,2.471694,453.997681,38.624718,0.341332,0,-1.098449,4e-06,-1.165543,1.1e-05,-1.068058,430.354065,-40.314281,0.355976,0,-0.746126,2e-06,1.061981,9e-06
0.017,0.017,2.470861,454.632965,38.542694,0.341127,0,-1.098813,-1e-06,-1.048434,1.2e-05,-1.387956,434.303009,-41.286198,0.355044,0,-0.743929,-5e-06,1.226871,1.4e-05
0.018,0.018,2.78909,454.7883,38.13876,0.341223,0,-1.099069,1.8e-05,-0.950397,4e-06,-1.068892,431.608429,-40.88089,0.356123,0,-0.745852,2.3e-05,1.138974,1e-05
0.019,0.019,2.711409,455.269104,38.381393,0.340949,0,-1.098699,1.3e-05,-1.091328,2.1e-05,-0.987876,434.939453,-41.043564,0.354704,0,-0.743211,2.5e-05,1.013562,0
0.02,0.02,2.787422,454.630676,38.544754,0.341162,0,-1.098325,1.2e-05,-0.902867,1.9e-05,-1.147407,430.663605,-40.882954,0.355926,0,-0.745471,3.4e-05,1.172262,5e-06
0.021,0.021,2.78909,454.46991,38.544754,0.34125,0,-1.098115,3.5e-05,-1.016915,8e-06,-1.148241,432.251282,-40.719593,0.355107,0,-0.745895,1.7e-05,1.118191,7e-06
0.022,0.022,2.708073,454.15448,38.464798,0.341273,0,-1.099165,7e-06,-1.005127,1e-05,-1.068058,432.880798,-40.96085,0.355034,0,-0.744727,9e-06,0.990637,5e-06
0.023,0.023,2.708908,456.20929,38.300743,0.341302,0,-1.099725,2.5e-05,-0.954413,2e-05,-0.750663,431.922363,-40.799553,0.355506,0,-0.746137,5e-06,1.053502,-1e-06
0.024,0.024,3.105652,456.366608,38.0588,0.341259,0,-1.099234,7.1e-05,-0.752302,4e-06,-1.388789,434.619415,-41.123524,0.354698,0,-0.743693,1.9e-05,1.225271,3e-06
0.025,0.025,3.108153,456.683838,38.303497,0.341085,0,-1.099381,6.9e-05,-1.008313,1e-06,-0.910194,432.7229,-40.718903,0.355303,0,-0.744423,2.1e-05,1.103637,1.3e-05
0.026,0.026,2.867605,457.165161,38.465485,0.341083,0,-1.098781,5e-05,-0.990385,3e-06,-0.830846,434.459473,-40.878826,0.355169,0,-0.744157,1.9e-05,1.009282,-2e-06
0.027,0.027,3.106486,456.525909,38.709496,0.341316,0,-1.098884,1.2e-05,-0.972547,6e-06,-0.511783,432.080658,-40.557606,0.355132,0,-0.746637,2.3e-05,1.032696,4e-06
0.028,0.028,3.186669,456.524567,38.871479,0.341036,0,-1.099591,2.6e-05,-0.978376,-5e-06,-0.432434,434.463226,-40.556229,0.354911,0,-0.744622,3.4e-05,0.958974,6e-06
0.029,0.029,3.266017,455.266144,38.709496,0.341449,0,-1.098177,1.6e-05,-0.934984,2e-06,-1.072227,433.195251,-40.880203,0.354842,0,-0.745269,1e-05,1.276288,1e-05
0.03,0.03,2.708073,454.941223,38.304874,0.341707,0,-1.09756,3e-05,-1.112697,7e-06,-0.911862,432.560791,-41.042877,0.35525,0,-0.745725,4e-05,1.233044,1.1e-05
0.031,0.031,2.628725,453.993591,38.142887,0.341492,0,-1.096797,6.2e-05,-1.14373,4e-06,-0.911029,433.041443,-41.042877,0.354652,0,-0.745774,2.1e-05,1.152447,6e-06
0.032,0.032,2.627891,455.101471,38.14151,0.341172,0,-1.097543,2.3e-05,-1.009737,1.6e-05,-0.912696,432.876038,-40.962227,0.355057,0,-0.745755,6e-06,1.293717,1.7e-05
0.033,0.033,2.945286,456.208008,38.063614,0.341615,0,-1.097812,4.1e-05,-0.984736,9e-06,-0.830846,433.350403,-41.205551,0.354625,0,-0.746352,3e-06,1.143103,1e-05
0.034,0.034,2.945286,457.155518,38.470299,0.341092,0,-1.098052,3.3e-05,-1.067628,1.5e-05,-0.353085,433.66864,-41.448868,0.354945,0,-0.745143,2.5e-05,1.099835,3e-06
0.035,0.035,2.945286,457.161682,38.388962,0.341237,0,-1.098547,1.3e-05,-1.054242,7e-06,-0.512616,433.510864,-41.286198,0.354564,0,-0.745612,2.2e-05,1.088623,8e-06
0.036,0.036,3.023801,456.528076,38.065678,0.341594,0,-1.097747,-5e-06,-0.982129,1.4e-05,-0.4316,434.299683,-40.637566,0.354856,0,-0.744872,1.8e-05,0.922333,4e-06
0.037,0.037,3.022967,457.156799,38.149078,0.341682,0,-1.098334,3.5e-05,-1.054257,3e-06,-0.591965,435.569946,-41.124214,0.354522,0,-0.743812,3e-06,1.07252,8e-06
0.038,0.038,2.780751,458.58075,38.067741,0.341161,0,-1.099013,4.2e-05,-0.881911,1.5e-05,-0.27457,433.352539,-40.638943,0.355304,0,-0.74603,6e-06,1.129858,6e-06
