,time,ground_force1_pt1y,ground_force1_pt1x,ground_force2_pt1y,ground_force2_pt1x,ground_force1_pt2x,ground_force1_pt2y,ground_force1_pt2z,ground_force2_pt2x,ground_force2_pt2y,ground_force2_pt2z
0,0.0,0.341258,-1.098607,0.356508,-0.74556,37.74893607400727,3.2171793983466963,453.0650718250054,-41.57661987538135,-1.6306688797524505,432.7752289508411
1,0.001,0.341155,-1.097397,0.356557,-0.744642,37.735704894354015,3.2223545554948543,453.1499686579617,-41.58270529259316,-1.600902335756764,432.8314122790297
2,0.002,0.341195,-1.09826,0.356588,-0.744346,37.7201470224027,3.227542856630382,453.2354525018012,-41.5892525640766,-1.570676912125672,432.8870987546039
3,0.003,0.340944,-1.098417,0.356429,-0.745042,37.705043975437505,3.2323047628698087,453.32148566369966,-41.59662480935751,-1.5401669261190931,432.942237257502
4,0.004,0.340675,-1.098693,0.356342,-0.745725,37.68957343212155,3.236907814672606,453.40802959329847,-41.6038101661801,-1.5091128957331152,432.9967761656559
5,0.005,0.340986,-1.098799,0.356177,-0.746011,37.67402723122725,3.241944640690056,453.49504490208153,-41.610417795360085,-1.4776675390718985,433.05066338939326
6,0.006,0.341064,-1.099595,0.356202,-0.746589,37.65754837021511,3.2465969666954386,453.5824913835448,-41.61712988562774,-1.445565773633081,433.1038464067388
7,0.007,0.341093,-1.099866,0.356507,-0.745299,37.64135500366404,3.2510436245830245,453.6703280341335,-41.62177965845738,-1.412720715511155,433.1562722995918
8,0.008,0.341348,-1.098637,0.355793,-0.744445,37.626425441556236,3.255554561423572,453.7585130749187,-41.62666437287954,-1.380434678523289,433.20788779075406
9,0.009,0.341037,-1.099369,0.356555,-0.74566,37.60930214741978,3.259332848564361,453.8470039739902,-41.633410330272824,-1.3462161732618552,433.2586392817792
10,0.01,0.340655,-1.09909,0.35582,-0.744764,37.59296073633213,3.262868690762205,453.9357574695365,-41.63783087913187,-1.3130419060775982,433.308472891616
11,0.011,0.341057,-1.099238,0.356126,-0.746008,37.57596697278752,3.267012435338285,454.0247295935874,-41.644170419808326,-1.2783777779969947,433.3573344960122
12,0.012,0.341272,-1.09992,0.355963,-0.744754,37.558217768431874,3.2707885813440294,454.11387569639305,-41.647784409221494,-1.2437378835770057,433.4051697676472
13,0.013,0.341552,-1.098695,0.355483,-0.745119,37.54215817966811,3.274444788727548,454.2031504714116,-41.65278336553546,-1.2089745097001,433.4519242169591
14,0.014,0.341397,-1.097738,0.35617,-0.746487,37.52561740513545,3.2774768874903693,454.2925079808836,-41.65854487279904,-1.1726081343121524,433.49754323363226
15,0.015,0.341342,-1.098314,0.355463,-0.746029,37.50733478306563,3.280415886824484,454.3819016819633,-41.66223358554575,-1.1372044251055855,433.5419721287052
16,0.016,0.341332,-1.098449,0.355976,-0.746126,37.48928878851937,3.283202984219892,454.4712844533819,-41.66622423335045,-1.1001542381499578,433.58515617726334
17,0.017,0.341127,-1.098813,0.355044,-0.743929,37.470814030506055,3.285594574533046,454.5606086226132,-41.667661625339704,-1.064127616472065,433.6270406616751
18,0.018,0.341223,-1.099069,0.356123,-0.745852,37.45225224899,3.288083259006533,454.6498259935138,-41.67295365465318,-1.025673788587426,433.6675709153305
19,0.019,0.340949,-1.098699,0.354704,-0.743211,37.4341263117866,3.289994854230203,454.7388878744074,-41.6734103028532,-0.9893071669848464,433.7066923668382
20,0.02,0.341162,-1.098325,0.355926,-0.745471,37.41581921135164,3.2921834010336166,454.8277451065813,-41.678490644279975,-0.9498943465654821,433.7443505846354
21,0.021,0.34125,-1.098115,0.355107,-0.745895,37.39716806146728,3.294034173299382,454.916348093165,-41.68145185034984,-0.9121231030376182,433.7804913219648
22,0.022,0.341273,-1.099165,0.355034,-0.744727,37.37708209382769,3.295604686686671,455.0046468283599,-41.68253219379399,-0.8732123912681373,433.81506056217154
23,0.023,0.341302,-1.099725,0.355506,-0.746137,37.357316654527594,3.2969637072539886,455.0925909269869,-41.68589605283528,-0.8333693435914308,433.8480045642731
24,0.024,0.341259,-1.099234,0.354698,-0.743693,37.338438200456714,3.2980312599700823,455.18012965432433,-41.68510591530042,-0.7944252680762964,433.8792699087512
25,0.025,0.341085,-1.099381,0.355303,-0.744423,37.31876329560305,3.2987466371017,455.2672119562008,-41.68718438266484,-0.753693646751193,433.9088035435164
26,0.026,0.341083,-1.098781,0.355169,-0.744157,37.29968260726785,3.299411406466743,455.3537864893142,-41.68795617402782,-0.7133331337880444,433.9365528299936
